doctor-reach	fb	oc-kimi-k3
score-delta	fb	codex-luna
eligibility-kinds	fb	gemini-38-flash
verify-entry	fb	glm-53-flash
spec-fate	farmerbob-core	agy-sonnet-46
cred-shield	farmerbob-core	or-deepseek-v4-flash
