ux-doctor	fb	or-gemini-38-flash,or-deepseek-v4-flash,or-laguna-s-21
fnd-store	farmerbob-store	glm-53-flash,ifm-k2-horizon
gpu-lease	farmerbob-core	ifm-k2-horizon
dmn-proto	farmerbob-core	ifm-k2-think
slot-cgroup	farmerbobd	ifm-k2-think
